Post-Secondary Institution,Number of Negative Results
British Columbia Institute of Technology,0
Capilano University,0
Emily Carr University of Art and Design,0
Kwantlen Polytechnic University,0
Langara College,0
Simon Fraser University,1
Thompson Rivers University,0
University of British Columbia - Okanagan,0
University of British Columbia - Vancouver,5
University of Northern British Columbia,0
University of the Fraser Valley,0
University of Victoria,0
Vancouver Island University,0
Other,0