Post-Secondary Institution,Number of Positive Results,Number of Negative Results
British Columbia Institute of Technology,0,0
Capilano University,0,0
Emily Carr University of Art and Design,0,0
Kwantlen Polytechnic University,0,0
Langara College,0,0
Simon Fraser University,0,1
Thompson Rivers University,0,0
University of British Columbia - Okanagan,0,0
University of British Columbia - Vancouver,3,5
University of Northern British Columbia,0,0
University of the Fraser Valley,0,0
University of Victoria,0,0
Vancouver Island University,0,0
Other,1,0